,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
18,Minnesota Timberwolves,64,15560,.477,13.2,.647,.305,.163,.097,.082,.353,.539,.673,.395,.417,.474,.363,.488,.055,295,.309,993,.777,.187,.407
19,New Orleans Pelicans,64,15510,.465,13.2,.632,.326,.157,.081,.068,.368,.529,.655,.383,.386,.433,.355,.493,.065,344,.308,980,.781,.209,.405
20,New York Knicks,66,15965,.463,14.3,.594,.279,.144,.092,.080,.406,.520,.666,.377,.418,.383,.381,.513,.063,324,.258,789,.804,.201,.415
21,Oklahoma City Thunder,64,15460,.456,13.8,.631,.271,.182,.094,.085,.369,.522,.663,.411,.429,.409,.344,.472,.057,292,.292,888,.795,.205,.347
22,Orlando Magic,65,15625,.463,14.2,.614,.256,.175,.100,.083,.386,.522,.680,.370,.446,.446,.370,.508,.055,271,.273,810,.840,.202,.421
23,Philadelphia 76ers,65,15675,.462,13.4,.662,.283,.174,.112,.093,.338,.518,.691,.380,.394,.397,.354,.505,.066,331,.274,835,.770,.156,.384
24,Phoenix Suns,65,15675,.475,13.4,.631,.314,.149,.088,.080,.369,.537,.662,.420,.393,.424,.368,.493,.062,326,.285,899,.776,.208,.391
25,Portland Trail Blazers,66,15890,.451,13.6,.617,.304,.155,.086,.073,.383,.497,.613,.377,.384,.404,.377,.496,.059,319,.275,860,.807,.208,.395
26,Sacramento Kings,64,15510,.468,14.1,.595,.276,.168,.085,.065,.405,.545,.707,.399,.425,.389,.355,.521,.060,301,.273,866,.827,.221,.389
27,San Antonio Spurs,63,15295,.469,14.0,.612,.278,.158,.095,.080,.388,.528,.670,.382,.424,.448,.376,.511,.062,315,.264,805,.830,.188,.415
28,Toronto Raptors*,64,15460,.429,14.6,.565,.264,.152,.091,.057,.435,.499,.620,.386,.418,.378,.337,.567,.046,225,.249,723,.883,.309,.357
29,Utah Jazz,64,15385,.452,13.9,.646,.243,.193,.116,.093,.354,.507,.670,.387,.435,.421,.351,.434,.048,248,.261,809,.763,.162,.387
30,Washington Wizards,64,15435,.490,13.8,.626,.272,.185,.088,.081,.374,.557,.698,.449,.451,.443,.378,.495,.067,341,.291,920,.798,.176,.433
,League Average,64,15649,.460,13.9,.618,.283,.166,.092,.076,.382,.523,.666,.393,.415,.405,.357,.505,.060,308,.276,861,.813,.210,.389
